,Approximate,Exact,$ ||.||_2 \ Error $
85,"[0.         0.03197959 0.06395512 0.0959218  0.1278752  0.1598109
 0.19172448 0.22361153 0.25546762 0.28728835 0.31906932 0.35080613
 0.38249437 0.41412968 0.44570766 0.47722395 0.50867418 0.54005401
 0.57135908 0.60258506 0.63372763 0.66478248 0.69574531 0.72661183
 0.75737777 0.78803887 0.81859088 0.84902958 0.87935074 0.90955017
 0.93962369 0.96956713 0.99937634 1.0290472  1.05857559 1.08795743
 1.11718864 1.14626517 1.175183   1.20393811 1.23252653 1.26094428
 1.28918743 1.31725207 1.34513429 1.37283025 1.40033608 1.42764798
 1.45476216 1.48167486 1.50838234 1.53488089 1.56116685 1.58723654
 1.61308637 1.63871273 1.66411206 1.68928085 1.71421559 1.73891281
 1.76336909 1.78758102 1.81154525 1.83525844 1.85871729 1.88191855
 1.90485899 1.92753542 1.94994471 1.97208372 1.99394941 2.01553873
 2.03684869 2.05787634 2.07861878 2.09907315 2.11923662 2.13910643
 2.15867985 2.1779542  2.19692685 2.21559524 2.23395682 2.25200915
 2.2697498  2.28735529]","[0.         0.03197905 0.06395367 0.09591944 0.12787194 0.15980673
 0.19171941 0.22360555 0.25546075 0.28728059 0.31906066 0.35079658
 0.38248394 0.41411836 0.44569547 0.47721089 0.50866026 0.54003923
 0.57134346 0.6025686  0.63371035 0.66476439 0.69572642 0.72659215
 0.75735732 0.78801767 0.81856895 0.84900694 0.87932741 0.90952618
 0.93959907 0.96954191 0.99935056 1.02902089 1.0585488  1.0879302
 1.11716102 1.14623722 1.17515478 1.20390968 1.23249795 1.26091564
 1.28915881 1.31722355 1.34510598 1.37280224 1.40030849 1.42762093
 1.45473578 1.48164928 1.50835771 1.53485738 1.56114461 1.58721576
 1.61306724 1.63869546 1.66409687 1.68926795 1.71420524 1.73890526
 1.76336461 1.7875799  1.81154777 1.83526492 1.85872805 1.88193392
 1.90487931 1.92756106 1.94997603 1.9721211  1.99399322 2.01558935
 2.03690652 2.05794176 2.07869217 2.09915488 2.11932705 2.13920588
 2.15878864 2.17807261 2.19705512 2.21573354 2.23410529 2.25216782
 2.26991864 2.28735529]",0.000455737030702067
90,"[0.         0.03020307 0.06040272 0.09059491 0.12077592 0.15094201
 0.18108947 0.21121457 0.24131358 0.27138281 0.30141852 0.33141702
 0.3613746  0.39128756 0.4211522  0.45096484 0.4807218  0.5104194
 0.54005397 0.56962186 0.59911942 0.62854299 0.65788895 0.68715367
 0.71633354 0.74542496 0.77442432 0.80332806 0.83213259 0.86083435
 0.88942982 0.91791544 0.9462877  0.97454311 1.00267815 1.03068936
 1.05857328 1.08632646 1.11394548 1.14142691 1.16876736 1.19596345
 1.22301183 1.24990914 1.27665207 1.3032373  1.32966156 1.35592157
 1.38201409 1.4079359  1.43368378 1.45925457 1.4846451  1.50985223
 1.53487285 1.55970388 1.58434223 1.60878488 1.63302881 1.65707103
 1.68090857 1.7045385  1.72795791 1.75116392 1.77415368 1.79692436
 1.81947318 1.84179738 1.86389422 1.88576101 1.90739509 1.92879384
 1.94995466 1.970875   1.99155234 2.01198421 2.03216816 2.05210182
 2.07178282 2.09120886 2.11037768 2.12928708 2.1479349  2.16631903
 2.18443742 2.20228809 2.21986911 2.2371786  2.25421477 2.2709759
 2.28735529]","[0.         0.03020251 0.06040129 0.09059262 0.12077276 0.15093799
 0.18108458 0.21120882 0.24130699 0.27137536 0.30141023 0.3314079
 0.36136464 0.39127678 0.42114061 0.45095244 0.48070861 0.51040543
 0.54003923 0.56960637 0.59910318 0.62852603 0.65787129 0.68713533
 0.71631454 0.74540531 0.77440406 0.80330721 0.83211118 0.86081243
 0.8894074  0.91789257 0.94626442 0.97451945 1.00265417 1.03066511
 1.0585488  1.08630182 1.11392072 1.1414021  1.16874257 1.19593875
 1.22298729 1.24988484 1.27662809 1.30321373 1.32963848 1.35589908
 1.38199229 1.40791488 1.43366366 1.45923544 1.48462708 1.50983542
 1.53485738 1.55968984 1.58432975 1.60877407 1.63301977 1.65706387
 1.6809034  1.70453541 1.72795698 1.75116523 1.77415729 1.79693032
 1.81948151 1.84180807 1.86390725 1.88577632 1.90741259 1.92881337
 1.94997603 1.97089795 1.99157656 2.01200929 2.03219363 2.05212709
 2.07180719 2.09123153 2.11039769 2.1293033  2.14794605 2.16632362
 2.18443374 2.20227418 2.21984274 2.23713725 2.25415557 2.27089561
 2.28735529]",0.00019539766928319949
95,"[0.         0.02861372 0.05722453 0.085829   0.11442397 0.14300625
 0.17157269 0.20012011 0.22864537 0.25714528 0.28561671 0.31405648
 0.34246146 0.37082849 0.39915443 0.42743614 0.45567049 0.48385435
 0.51198459 0.5400581  0.56807177 0.59602248 0.62390716 0.65172269
 0.67946601 0.70713403 0.7347237  0.76223194 0.78965572 0.81699198
 0.84423772 0.87138989 0.89844549 0.92540153 0.952255   0.97900295
 1.00564239 1.03217038 1.05858397 1.08488023 1.11105625 1.13710912
 1.16303595 1.18883387 1.21450001 1.24003153 1.26542559 1.29067937
 1.31579006 1.34075489 1.36557108 1.39023587 1.41474652 1.43910031
 1.46329453 1.4873265  1.51119355 1.53489302 1.55842227 1.58177869
 1.60495968 1.62796267 1.6507851  1.67342441 1.69587811 1.71814368
 1.74021864 1.76210055 1.78378696 1.80527546 1.82656365 1.84764917
 1.86852967 1.88920281 1.9096663  1.92991787 1.94995524 1.96977621
 1.98937855 2.0087601  2.02791869 2.0468522  2.06555853 2.0840356
 2.10228137 2.12029382 2.13807097 2.15561085 2.17291155 2.18997115
 2.2067878  2.22335967 2.23968496 2.25576191 2.2715888  2.28735529]","[0.         0.02861296 0.05722276 0.08582621 0.11442016 0.14300142
 0.17156684 0.20011325 0.22863749 0.2571364  0.28560681 0.31404558
 0.34244955 0.37081557 0.39914051 0.42742123 0.45565458 0.48383745
 0.5119667  0.54003923 0.56805192 0.59600167 0.62388538 0.65169997
 0.67944234 0.70710943 0.73469817 0.76220551 0.78962839 0.81696378
 0.84420864 0.87135997 0.89841474 0.92536998 0.95222267 0.97896986
 1.00560858 1.03213587 1.0585488  1.08484444 1.11101988 1.13707222
 1.16299856 1.18879604 1.2144618  1.23999299 1.26538679 1.29064039
 1.31575097 1.34071577 1.36553202 1.39019695 1.41470786 1.43906201
 1.46325671 1.48728927 1.51115704 1.53485738 1.55838764 1.58174523
 1.60492757 1.62793207 1.65075619 1.67339741 1.69585321 1.7181211
 1.74019863 1.76208333 1.78377279 1.80526461 1.8265564  1.8476458
 1.86853048 1.88920812 1.90967643 1.92993315 1.94997603 1.96980284
 1.98941139 2.00879952 2.02796506 2.0469059  2.06561994 2.0841051
 2.10235934 2.12038064 2.13816699 2.15571642 2.173027   2.1900968
 2.20692394 2.22350654 2.23984277 2.25593082 2.27176891 2.28735529]",0.0005097569278015084
100,"[0.         0.0271829  0.0543633  0.08153827 0.10870508 0.13586102
 0.16300338 0.19012943 0.21723646 0.24432177 0.27138265 0.29841638
 0.32542027 0.35239161 0.37932771 0.40622587 0.43308341 0.45989763
 0.48666586 0.51338541 0.54005362 0.56666782 0.59322534 0.61972354
 0.64615975 0.67253134 0.69883567 0.72507011 0.75123203 0.77731882
 0.80332787 0.82925657 0.85510233 0.88086258 0.90653472 0.9321162
 0.95760445 0.98299693 1.00829109 1.0334844  1.05857435 1.08355843
 1.10843412 1.13319895 1.15785044 1.18238612 1.20680353 1.23110024
 1.25527381 1.27932181 1.30324185 1.32703153 1.35068846 1.37421028
 1.39759464 1.42083918 1.44394159 1.46689955 1.48971076 1.51237292
 1.53488378 1.55724108 1.57944257 1.60148602 1.62336924 1.64509001
 1.66664617 1.68803555 1.709256   1.73030539 1.75118161 1.77188256
 1.79240617 1.81275037 1.83291311 1.85289238 1.87268616 1.89229248
 1.91170935 1.93093483 1.949967   1.96880395 1.9874438  2.00588468
 2.02412476 2.04216224 2.05999533 2.07762228 2.09504138 2.11225095
 2.12924934 2.14603495 2.16260625 2.17896175 2.19510001 2.21101969
 2.22671953 2.24219837 2.25745518 2.27248906 2.28735529]","[0.         0.02718237 0.05436201 0.08153622 0.10870228 0.13585747
 0.16299907 0.19012437 0.21723066 0.24431523 0.27137536 0.29840836
 0.32541152 0.35238213 0.37931751 0.40621496 0.43307179 0.45988531
 0.48665284 0.5133717  0.54003923 0.56665276 0.59320962 0.61970716
 0.64614273 0.67251369 0.69881739 0.72505122 0.75121254 0.77729874
 0.80330721 0.82923535 0.85508057 0.88084028 0.9065119  0.93209288
 0.95758065 0.98297266 1.00826637 1.03345926 1.0585488  1.08353249
 1.10840783 1.13317233 1.15782351 1.18235891 1.20677607 1.23107256
 1.25524594 1.2792938  1.30321373 1.32700334 1.35066025 1.3741821
 1.39756652 1.4208112  1.44391379 1.46687199 1.48968351 1.51234606
 1.53485738 1.55721521 1.57941732 1.60146149 1.62334552 1.64506721
 1.6666244  1.68801492 1.70923665 1.73028746 1.75116523 1.77186789
 1.79239337 1.81273961 1.83290458 1.85288625 1.87268265 1.89229177
 1.91171167 1.93094039 1.94997603 1.96881666 1.98746042 2.00590544
 2.02414986 2.04219187 2.06002967 2.07766146 2.09508549 2.11230001
 2.1293033  2.14609367 2.16266943 2.17902892 2.19517051 2.21109259
 2.22679355 2.24227185 2.25752591 2.27255423 2.28735529]",0.00029268118821746254
105,"[0.         0.02588857 0.05177498 0.07765669 0.10353136 0.12939664
 0.15525019 0.18108965 0.20691268 0.23271694 0.25850009 0.2842598
 0.30999371 0.33569951 0.36137486 0.38701742 0.41262488 0.4381949
 0.46372518 0.48921339 0.51465723 0.54005437 0.56540253 0.5906994
 0.61594269 0.6411301  0.66625935 0.69132816 0.71633427 0.74127538
 0.76614926 0.79095363 0.81568626 0.84034489 0.86492728 0.88943121
 0.91385446 0.93819481 0.96245004 0.98661797 1.01069639 1.03468312
 1.05857598 1.08237281 1.10607145 1.12966974 1.15316554 1.17655672
 1.19984116 1.22301675 1.24608137 1.26903294 1.29186936 1.31458858
 1.33718852 1.35966713 1.38202236 1.4042522  1.42635461 1.44832759
 1.47016915 1.49187729 1.51345005 1.53488546 1.55618158 1.57733646
 1.59834819 1.61921484 1.63993454 1.66050538 1.68092549 1.70119303
 1.72130614 1.74126299 1.76106177 1.78070067 1.80017792 1.81949172
 1.83864034 1.85762202 1.87643505 1.89507771 1.91354831 1.93184517
 1.94996664 1.96791108 1.98567686 2.0032624  2.0206661  2.03788641
 2.05492179 2.07177072 2.08843173 2.10490335 2.12118414 2.1372727
 2.15316766 2.16886769 2.18437148 2.19967778 2.21478538 2.22969311
 2.24439987 2.25890461 2.27320634 2.28735529]","[0.         0.02588801 0.05177367 0.07765463 0.10352855 0.12939308
 0.15524587 0.18108458 0.20690687 0.23271039 0.2584928  0.28425177
 0.30998495 0.33569002 0.36136464 0.38700649 0.41261323 0.43818254
 0.46371212 0.48919963 0.51464277 0.54003923 0.56538671 0.59068291
 0.61592553 0.64111228 0.66624089 0.69130906 0.71631454 0.74125504
 0.7661283  0.79093208 0.81566412 0.84032217 0.86490401 0.8894074
 0.91383012 0.93816995 0.96242468 0.98659212 1.01067008 1.03465636
 1.0585488  1.08234523 1.10604349 1.12964142 1.1531369  1.17652778
 1.19981195 1.22298729 1.2460517  1.2690031  1.29183939 1.31455851
 1.3371584  1.35963701 1.38199229 1.40422222 1.42632479 1.44829798
 1.47013981 1.4918483  1.51342147 1.53485738 1.55615406 1.5773096
 1.59832208 1.61918958 1.63991022 1.66048211 1.6809034  1.70117222
 1.72128675 1.74124515 1.76104561 1.78068634 1.80016557 1.81948151
 1.83863242 1.85761656 1.87643221 1.89507767 1.91355124 1.93185124
 1.94997603 1.96792394 1.98569336 2.00328267 2.02069028 2.03791461
 2.0549541  2.07180719 2.08847237 2.10494812 2.12123295 2.13732538
 2.15322394 2.1689272  2.18443374 2.19974214 2.21485103 2.22975902
 2.24446476 2.25896693 2.2732642  2.28735529]",0.0002912116780905801
110,"[0.         0.0247119  0.04942193 0.07412788 0.09882769 0.12351934
 0.14820078 0.17286997 0.19752488 0.22216345 0.24678367 0.27138349
 0.29596088 0.3205138  0.34504024 0.36953815 0.39400553 0.41844034
 0.44284056 0.46720418 0.49152919 0.51581357 0.54005532 0.56425243
 0.5884029  0.61250474 0.63655595 0.66055456 0.68449856 0.70838599
 0.73221487 0.75598322 0.77968909 0.80333052 0.82690555 0.85041222
 0.87384861 0.89721277 0.92050277 0.94371668 0.96685258 0.98990857
 1.01288273 1.03577317 1.05857799 1.08129531 1.10392324 1.12645993
 1.14890349 1.17125208 1.19350385 1.21565696 1.23770957 1.25965986
 1.28150601 1.30324622 1.32487869 1.34640162 1.36781324 1.38911176
 1.41029544 1.43136251 1.45231124 1.47313987 1.4938467  1.51443001
 1.53488808 1.55521922 1.57542176 1.59549401 1.61543431 1.63524102
 1.65491247 1.67444706 1.69384315 1.71309913 1.73221342 1.75118442
 1.77001057 1.7886903  1.80722207 1.82560433 1.84383557 1.86191427
 1.87983895 1.89760811 1.9152203  1.93267405 1.94996792 1.96710051
 1.98407039 2.00087617 2.01751649 2.03398998 2.05029532 2.06643117
 2.08239624 2.09818925 2.11380896 2.12925413 2.14452354 2.15961604
 2.17453046 2.18926569 2.20382064 2.21819427 2.23238555 2.24639354
 2.26021729 2.27385594 2.28735529]","[0.         0.02471131 0.04942058 0.07412577 0.09882483 0.12351572
 0.14819641 0.17286484 0.19751899 0.22215682 0.24677629 0.27137536
 0.29595201 0.32050419 0.34502989 0.36952708 0.39399372 0.41842781
 0.44282731 0.46719021 0.49151451 0.51579818 0.54003923 0.56423565
 0.58838543 0.61248659 0.63653713 0.66053507 0.68447841 0.70836519
 0.73219342 0.75596115 0.77966639 0.80330721 0.82688163 0.85038772
 0.87382353 0.89718712 0.92047656 0.94368994 0.96682532 0.9898808
 1.01285447 1.03574444 1.0585488  1.08126569 1.10389321 1.12642951
 1.14887271 1.17122096 1.19347242 1.21562525 1.23767761 1.25962769
 1.28147366 1.30321373 1.3248461  1.34636897 1.36778058 1.38907914
 1.41026291 1.43133013 1.45227905 1.47310796 1.49381512 1.51439883
 1.53485738 1.55518908 1.57539225 1.59546523 1.61540636 1.63521398
 1.65488645 1.67442217 1.6938195  1.71307685 1.73219262 1.75116523
 1.76999313 1.78867474 1.80720853 1.82559296 1.84382652 1.8619077
 1.87983501 1.89760695 1.91522207 1.93267891 1.94997603 1.96711199
 1.98408538 2.00089479 2.01753885 2.03401617 2.05032539 2.06646516
 2.08243415 2.09823104 2.11385452 2.1293033  2.14457612 2.15967169
 2.17458878 2.18932615 2.20388259 2.21825689 2.23244787 2.24645435
 2.26027517 2.27390919 2.28735529]",0.0003015622529940382
115,"[0.         0.02363756 0.04727347 0.07090582 0.0945328  0.11815263
 0.14176352 0.1653637  0.18895137 0.21252476 0.23608207 0.25962153
 0.28314136 0.30663978 0.330115   0.35356527 0.3769888  0.40038382
 0.42374856 0.44708126 0.47038015 0.49364347 0.51686946 0.54005637
 0.56320243 0.58630591 0.60936505 0.63237811 0.65534334 0.67825902
 0.70112341 0.72393478 0.7466914  0.76939155 0.79203352 0.8146156
 0.83713607 0.85959323 0.88198539 0.90431085 0.92656792 0.94875491
 0.97087016 0.99291198 1.01487871 1.03676869 1.05858026 1.08031177
 1.10196157 1.12352803 1.14500952 1.16640441 1.18771107 1.20892791
 1.23005331 1.25108567 1.2720234  1.29286491 1.31360863 1.33425299
 1.35479642 1.37523736 1.39557428 1.41580562 1.43592985 1.45594545
 1.47585091 1.49564471 1.51532535 1.53489134 1.5543412  1.57367345
 1.59288663 1.61197927 1.63094994 1.64979718 1.66851958 1.68711571
 1.70558416 1.72392352 1.74213242 1.76020945 1.77815327 1.79596249
 1.81363578 1.83117179 1.84856919 1.86582667 1.88294293 1.89991665
 1.91674657 1.93343142 1.94996992 1.96636086 1.98260298 1.99869507
 2.01463594 2.03042439 2.04605925 2.06153937 2.07686361 2.09203084
 2.10703997 2.12188991 2.13657961 2.15110803 2.16547415 2.17967698
 2.19371556 2.20758896 2.22129628 2.23483665 2.24820924 2.26141327
 2.27444798 2.28735529]","[0.         0.02363694 0.04727208 0.07090366 0.09452987 0.11814893
 0.14175907 0.16535848 0.18894539 0.21251801 0.23607456 0.25961326
 0.28313233 0.30663    0.33010447 0.35355399 0.37697677 0.40037105
 0.42373506 0.44706702 0.47036518 0.49362778 0.51685304 0.54003923
 0.56318458 0.58628735 0.60934579 0.63235815 0.6553227  0.6782377
 0.70110141 0.72391211 0.74666807 0.76936757 0.79200889 0.81459034
 0.83711018 0.85956673 0.88195828 0.90428315 0.92653964 0.94872607
 0.97084076 0.99288204 1.01484825 1.03673772 1.0585488  1.08027984
 1.1019292  1.12349523 1.14497631 1.16637082 1.18767713 1.20889364
 1.23001873 1.25105082 1.27198832 1.29282963 1.31357319 1.33421743
 1.35476077 1.37520168 1.39553861 1.41577001 1.43589436 1.45591014
 1.47581583 1.49560993 1.51529094 1.53485738 1.55430775 1.5736406
 1.59285446 1.61194788 1.63091941 1.64976762 1.66849109 1.6870884
 1.70555813 1.72389891 1.74210933 1.76018803 1.77813363 1.79594478
 1.81362013 1.83115835 1.8485581  1.86581808 1.88293698 1.8999135
 1.91674636 1.93343429 1.94997603 1.96637032 1.98261592 1.99871161
 2.01465617 2.03044839 2.04608709 2.06157107 2.07689917 2.09207022
 2.10708309 2.12193663 2.13662973 2.15116126 2.16553014 2.17973527
 2.19377558 2.20765002 2.22135752 2.23489706 2.24826762 2.26146817
 2.27449772 2.28735529]",0.0003188157908848071
